split,source,accuracy,accuracy_ci_low,accuracy_ci_high,macro_f1
test,clean,0.9876484560570071,0.9855898653998416,0.9894695170229612,0.983270455398108
gaussian_noise,local_corruption,0.8456848772763262,0.8391904196357878,0.8517814726840855,0.8443865001187149
blur,local_corruption,0.6261282660332541,0.6176563737133809,0.6340459224069676,0.6220555539590156
jpeg_compression,local_corruption,0.8590657165479019,0.8529671417260491,0.8646892319873317,0.849887325841152
pixelate,local_corruption,0.36302454473475854,0.3541547901821061,0.37134006334125097,0.3289297580848018
low_contrast,local_corruption,0.9841646872525732,0.9818685669041963,0.9862232779097387,0.9799552053139134
contrast,hf_split,0.9842438638163103,0.9820269200316706,0.9863024544734759,0.9786213699747559
gaussian_noise,hf_split,0.8825019794140935,0.8767220902612827,0.8881235154394299,0.8753144204315441
impulse_noise,hf_split,0.8424386381631037,0.8359441805225654,0.8488539192399049,0.8344020068501407
jpeg_compression,hf_split,0.9604908946951702,0.9570051464766429,0.9637391132224862,0.9513546945957833
motion_blur,hf_split,0.9792557403008709,0.9767220902612826,0.9817121931908155,0.9714106481482108
pixelate,hf_split,0.9678543151227237,0.9646872525732383,0.9706254948535233,0.9583405399651013
spatter,hf_split,0.9190815518606492,0.9147248614410135,0.923673792557403,0.902007854535226
