epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,2.980397065396318,0.2022169228051581,2.6251912847295538,0.2707707707707708,0.0002988172051971717
2,2.4276931061379967,0.3220279102632044,2.1665768890648156,0.37787787787787785,0.0002952874741692947
3,2.0567415737048664,0.40628864158275924,1.824542803687973,0.4692192192192192,0.0002894664728832377
4,1.7809178338963074,0.47526938703409294,1.6277336497922559,0.5047547547547547,0.00028144600200657956
5,1.548781355790632,0.5491079314608727,1.3897317108568605,0.5965965965965966,0.00027135254915624217
6,1.3765802569786076,0.6009980568804099,1.2284294570888485,0.6501501501501501,0.0002593452941132118
7,1.2287298487050229,0.648030383324501,1.1044349270659286,0.67992992992993,0.00024561359846230347
8,1.0815665643978742,0.6958576223282106,0.998014300435155,0.7047047047047047,0.0002303740192468495
9,0.9730379315488984,0.7326444091149974,0.880349357922872,0.7454954954954955,0.0002138668937347609
10,0.8737905072020339,0.7643525878819997,0.7710025766351679,0.7867867867867868,0.0001963525491562421
11,0.7935499704109445,0.7886857445680975,0.6330107636637874,0.826076076076076,0.00017810719718785873
12,0.7110798170869372,0.8149178590355061,0.6337115715096543,0.8238238238238238,0.00015941857792939703
13,0.65329617257675,0.8355855855855856,0.5321277111500233,0.8711211211211212,0.00014058142207060302
14,0.6025805919441185,0.848966613672496,0.5159677149535896,0.8723723723723724,0.00012189280281214133
15,0.5598641263945873,0.8620385090973326,0.45510688600120125,0.8998998998998999,0.00010364745084375795
16,0.5303161024226041,0.8701201201201201,0.4093620494917945,0.9004004004004004,8.61331062652391e-05
17,0.48895027331719654,0.8844727080021197,0.3779165217945645,0.9101601601601602,6.962598075315047e-05
18,0.46448658724973363,0.8911411411411412,0.37277894687127544,0.9206706706706707,5.4386401537696536e-05
19,0.4464037790512832,0.8979420597067655,0.3294149322791381,0.9316816816816816,4.06547058867883e-05
20,0.42919343974223473,0.9032856385797562,0.3131555274382487,0.9369369369369369,2.86474508437579e-05
21,0.41590997519856987,0.9072602013778485,0.3000071317822606,0.9366866866866866,1.8553997993420465e-05
22,0.4080253143105021,0.9123388093976329,0.29842272890103355,0.9401901901901902,1.05335271167623e-05
23,0.39923788463662946,0.9138844727080021,0.2918394919749614,0.9409409409409409,4.712525830705356e-06
24,0.39396295956957994,0.9156509450627097,0.2895870529137574,0.9401901901901902,1.1827948028283355e-06
25,0.39801733333974776,0.9132662073838544,0.288594477259003,0.9406906906906907,0.0
